"lambda_","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.754, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
1e-05,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
1e-05,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
1e-05,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
1e-05,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
0.0001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.694, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.756, 0.76, 0.766, 0.764, 0.728, 0.752, 0.74, 0.746]"
0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.714, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
0.0001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.716, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
0.0001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.714, 0.782, 0.756, 0.772, 0.772, 0.728, 0.75, 0.748, 0.76]"
0.001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.764, 0.758, 0.766, 0.762, 0.73, 0.752, 0.74, 0.746]"
0.001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.764, 0.758, 0.766, 0.762, 0.728, 0.752, 0.74, 0.746]"
0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.764, 0.758, 0.766, 0.762, 0.73, 0.752, 0.74, 0.746]"
0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.756, 0.696, 0.764, 0.758, 0.766, 0.762, 0.728, 0.752, 0.74, 0.746]"
0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.748, 0.714, 0.784, 0.758, 0.772, 0.772, 0.728, 0.748, 0.746, 0.76]"
0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.748, 0.714, 0.784, 0.76, 0.77, 0.774, 0.728, 0.748, 0.746, 0.76]"
0.001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.748, 0.714, 0.784, 0.758, 0.772, 0.772, 0.728, 0.748, 0.746, 0.76]"
0.001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.748, 0.714, 0.784, 0.76, 0.77, 0.774, 0.728, 0.748, 0.746, 0.76]"
0.01,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.696, 0.762, 0.756, 0.766, 0.748, 0.718, 0.74, 0.732, 0.746]"
0.01,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.696, 0.764, 0.754, 0.766, 0.746, 0.716, 0.74, 0.732, 0.746]"
0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.696, 0.762, 0.756, 0.766, 0.748, 0.718, 0.74, 0.732, 0.746]"
0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.752, 0.696, 0.764, 0.754, 0.766, 0.746, 0.716, 0.74, 0.732, 0.746]"
0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.736, 0.7, 0.782, 0.758, 0.774, 0.758, 0.726, 0.74, 0.746, 0.776]"
0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.736, 0.702, 0.782, 0.758, 0.774, 0.762, 0.726, 0.74, 0.746, 0.774]"
0.01,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.736, 0.7, 0.782, 0.758, 0.774, 0.758, 0.726, 0.74, 0.746, 0.776]"
0.01,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.736, 0.702, 0.782, 0.758, 0.774, 0.762, 0.726, 0.74, 0.746, 0.774]"
0.1,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.698, 0.73, 0.73, 0.752, 0.716, 0.702, 0.742, 0.712, 0.752]"
0.1,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.698, 0.73, 0.73, 0.754, 0.718, 0.702, 0.742, 0.712, 0.752]"
0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.698, 0.73, 0.73, 0.752, 0.716, 0.702, 0.742, 0.712, 0.752]"
0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.698, 0.73, 0.73, 0.754, 0.718, 0.702, 0.742, 0.712, 0.752]"
0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.702, 0.76, 0.74, 0.762, 0.734, 0.712, 0.754, 0.718, 0.754]"
0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.704, 0.758, 0.74, 0.762, 0.734, 0.712, 0.754, 0.718, 0.756]"
0.1,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.702, 0.76, 0.74, 0.762, 0.734, 0.712, 0.754, 0.718, 0.754]"
0.1,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.704, 0.758, 0.74, 0.762, 0.734, 0.712, 0.754, 0.718, 0.756]"
1.0,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.648, 0.664, 0.702, 0.674, 0.678, 0.656, 0.644, 0.682, 0.67, 0.704]"
1.0,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.648, 0.664, 0.702, 0.674, 0.678, 0.656, 0.644, 0.682, 0.67, 0.704]"
1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.648, 0.664, 0.702, 0.674, 0.678, 0.656, 0.644, 0.682, 0.67, 0.704]"
1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.648, 0.664, 0.702, 0.674, 0.678, 0.656, 0.644, 0.682, 0.67, 0.704]"
1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.646, 0.666, 0.704, 0.674, 0.68, 0.666, 0.654, 0.688, 0.676, 0.712]"
1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.646, 0.668, 0.702, 0.678, 0.68, 0.666, 0.654, 0.692, 0.676, 0.712]"
1.0,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.646, 0.666, 0.704, 0.674, 0.68, 0.666, 0.654, 0.688, 0.676, 0.712]"
1.0,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.646, 0.668, 0.702, 0.678, 0.68, 0.666, 0.654, 0.692, 0.676, 0.712]"
